"month","age","type_pill","thrombosis","users"
10,27,2,0,52646
11,27,2,2,52369
12,27,2,1,44232
1,27,3,1,23018
2,27,3,0,22533
3,27,3,1,21908
4,27,3,0,19912
5,27,3,1,19814
6,27,3,0,17085
7,27,3,0,13039
8,27,3,1,12966
9,27,3,0,12074
10,27,3,0,11350
11,27,3,1,11271
12,27,3,0,9427
1,28,2,1,112639
2,28,2,3,110420
3,28,2,2,105327
4,28,2,3,89188
5,28,2,3,88785
6,28,2,3,77025
7,28,2,0,59151
8,28,2,5,58796
9,28,2,4,52544
10,28,2,0,47500
11,28,2,0,47256
12,28,2,3,39818
1,28,3,1,23058
2,28,3,0,22583
3,28,3,1,21925
4,28,3,1,19832
5,28,3,0,19725
6,28,3,0,16954
7,28,3,1,12838
8,28,3,0,12766
9,28,3,2,11938
10,28,3,0,11277
11,28,3,1,11201
12,28,3,0,9333
1,29,2,5,104569
2,29,2,2,102265
3,29,2,4,97209
4,29,2,0,81601
5,29,2,3,81224
6,29,2,0,70354
7,29,2,4,53862
8,29,2,3,53549
9,29,2,1,47889
10,29,2,0,43282
11,29,2,1,43059
12,29,2,0,36089
1,29,3,0,23130
2,29,3,2,22657
3,29,3,0,21990
4,29,3,0,19872
5,29,3,1,19773
6,29,3,2,16969
7,29,3,1,12789
8,29,3,1,12712
9,29,3,0,11891
10,29,3,0,11212
11,29,3,0,11144
12,29,3,0,9260
1,30,2,5,98640
2,30,2,1,96309
3,30,2,7,91129
4,30,2,2,75434
5,30,2,2,75058
6,30,2,1,64942
7,30,2,0,49588
8,30,2,1,49307
9,30,2,1,44233
10,30,2,5,40078
11,30,2,0,39873
12,30,2,3,33444
1,30,3,0,23562
2,30,3,1,23024
3,30,3,1,22309
4,30,3,1,20083
5,30,3,2,19956
6,30,3,1,17049
7,30,3,0,12712
8,30,3,0,12639
9,30,3,0,11788
10,30,3,0,11092
11,30,3,0,11016
12,30,3,0,9182
1,31,2,3,92383
2,31,2,3,90014
3,31,2,4,84850
4,31,2,4,69867
5,31,2,1,69502
6,31,2,1,59959
7,31,2,1,45467
8,31,2,3,45155
9,31,2,2,40701
10,31,2,0,36969
11,31,2,1,36757
12,31,2,0,30908
1,31,3,0,23476
2,31,3,3,22930
3,31,3,3,22220
4,31,3,3,20003
5,31,3,0,19899
6,31,3,1,17079
7,31,3,1,12894
8,31,3,0,12814
9,31,3,2,11972
10,31,3,0,11268
11,31,3,0,11200
12,31,3,1,9365
1,32,2,2,88703
2,32,2,6,86320
3,32,2,3,81155
4,32,2,7,66380
5,32,2,3,65994
6,32,2,1,57224
7,32,2,1,43855
8,32,2,0,43548
9,32,2,1,39360
10,32,2,2,35816
11,32,2,2,35607
12,32,2,3,30253
1,32,3,1,23263
2,32,3,1,22756
3,32,3,0,22041
4,32,3,4,19817
5,32,3,1,19711
6,32,3,0,16977
7,32,3,0,12916
8,32,3,1,12839
9,32,3,1,12015
10,32,3,0,11337
11,32,3,1,11275
12,32,3,1,9580
1,33,2,6,86208
2,33,2,3,83767
3,33,2,0,78657
4,33,2,5,64034
5,33,2,2,63680
6,33,2,0,55322
7,33,2,1,42611
8,33,2,0,42328
9,33,2,1,38296
10,33,2,0,34889
11,33,2,4,34673
12,33,2,0,29657
1,33,3,2,23247
2,33,3,2,22719
3,33,3,1,21972
4,33,3,1,19694
5,33,3,1,19612
6,33,3,1,16910
7,33,3,1,12872
8,33,3,0,12798
9,33,3,0,11968
10,33,3,2,11268
11,33,3,0,11208
12,33,3,1,9633
1,34,2,9,82407
2,34,2,3,80032
3,34,2,8,74962
4,34,2,3,60760
5,34,2,3,60385
6,34,2,1,52605
7,34,2,4,40783
8,34,2,0,40503
9,34,2,0,36797
10,34,2,1,33637
11,34,2,2,33459
12,34,2,1,28873
1,34,3,1,22705
2,34,3,2,22186
3,34,3,0,21463
4,34,3,2,19233
5,34,3,0,19152
6,34,3,0,16529
7,34,3,0,12609
8,34,3,6,12536
9,34,3,1,11710
10,34,3,2,11022
11,34,3,1,10958
12,34,3,0,9407
1,35,2,2,80293
2,35,2,8,77833
3,35,2,4,72710
4,35,2,2,58404
5,35,2,5,58062
6,35,2,2,50702
7,35,2,3,39490
8,35,2,2,39216
9,35,2,5,35580
10,35,2,1,32537
11,35,2,2,32355
12,35,2,1,28029
1,35,3,1,21850
2,35,3,2,21337
3,35,3,2,20609
4,35,3,1,18359
5,35,3,0,18263
6,35,3,0,15858
7,35,3,1,12255
8,35,3,1,12186
9,35,3,1,11364
10,35,3,2,10685
11,35,3,0,10624
12,35,3,1,9214
1,36,2,4,76051
2,36,2,8,73712
3,36,2,3,68865
4,36,2,4,55380
5,36,2,10,55036
6,36,2,5,48317
7,36,2,3,38106
8,36,2,1,37857
9,36,2,1,34405
10,36,2,1,31491
11,36,2,0,31330
12,36,2,1,27341
1,36,3,0,20782
2,36,3,1,20299
3,36,3,2,19616
4,36,3,0,17510
5,36,3,1,17430
6,36,3,0,15236
7,36,3,1,11953
8,36,3,2,11896
9,36,3,0,11107
10,36,3,1,10458
11,36,3,2,10391
12,36,3,0,9131
1,37,2,6,74055
2,37,2,4,71755
3,37,2,5,66872
4,37,2,2,53446
5,37,2,4,53108
6,37,2,1,46675
7,37,2,4,36846
8,37,2,3,36603
9,37,2,2,33321
10,37,2,4,30610
11,37,2,1,30458
12,37,2,1,26807
1,37,3,2,19823
2,37,3,1,19374
3,37,3,3,18681
4,37,3,0,16609
5,37,3,1,16535
6,37,3,0,14482
7,37,3,1,11388
8,37,3,1,11331
9,37,3,0,10546
10,37,3,0,9923
11,37,3,2,9880
12,37,3,1,8727
1,38,2,2,70575
2,38,2,11,68407
3,38,2,2,63770
4,38,2,8,50749
5,38,2,3,50417
6,38,2,3,44491
7,38,2,6,35477
8,38,2,3,35248
9,38,2,1,32033
10,38,2,3,29383
11,38,2,0,29235
12,38,2,0,25913
1,38,3,1,18413
2,38,3,1,17992
3,38,3,2,17373
4,38,3,0,15463
